X X X XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X X X XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
0 1 1 01000001100100100000100000100011 11000001100111001011111101010110
0 1 1 01000001101111000100100110010111 01000001100010001000110001001011
0 1 1 11000001101011010001001111111111 11000001001011110011000101000100
0 1 1 01000001101111111100111001110000 00111111110100111101010001111011
0 1 1 01000000111101011010100010100101 11000001100110110010001110010101
0 1 1 11000001101110101011110111000011 01000000101111010100011101001011
0 1 1 11000001010011011000110110111100 11000001010110111111011001110000
0 1 1 01000000001011100000011000110010 01000001000011101111110001000011
0 1 1 01000001110101000100100001111110 01000001001011111001011101010000
0 1 1 01000001110101111011010101010010 01000001011001100100100011100001
0 1 1 11000001100111101101111000010110 11000000001101111001011011101111
0 1 1 01000001110110100101101011100101 11000001110000010001101101011101
0 1 1 01000001110101000010000000011110 11000001011110111000001001100110
0 1 1 10111111010110010010010001110010 01000001101111111100100111011101
0 1 1 01000001100010110101010010000100 11000001101000010100101111101110
0 1 1 11000001101001100010101000101100 01000001100101110010110111011000
0 1 1 11000000100100010011011000001000 01000000000011100101001110111110
0 1 1 01000001110000001110011010111011 01000001111001100011010011011110
0 1 1 01000001100001111001010110001110 11000001110000111011100111111111
0 1 1 01000001110101010011010001011001 11000000010101001100011100111100
0 1 1 01000001000100001000011100000010 11000001101101101000001101011011
0 1 1 11000001110101110110111000000110 01000001110101100101001000011010
0 1 1 01000001101000011111111011111010 11000001111001011101100110000111
0 1 1 01000001110010010101111101110100 01000001011111110001110111101110
0 1 1 01000001001001011101110111000001 01000001100100110011101010001100
0 1 1 01000001011011110010111011001111 01000001101010110001001100001000
0 1 1 01000001011000011010000001111111 11000001110000001101001001011111
0 1 1 11000000110010000000011011010011 11000000101110100000000011011111
0 1 1 01000001000100000100100010010010 11000001010111101101011100011100
0 1 1 11000001100110001001000111000011 01000001100010110011101101010110
0 1 1 01000001001111110011010111110101 11000000011111101001011110000101
0 1 1 11000001110110010011101011000100 01000001101111101000101001011101
0 1 1 11000001010011110000001111110110 11000001100100111001111101111100
0 1 1 11000001110100101001001110010100 11000001010110110011000011011110
0 1 1 11000001101110101110111001001100 11000001101001000111100001001100
0 1 1 01000001100101100001010110011101 11000001101010001101110100111011
0 1 1 01000001001101001100110100001100 01000001101010110101101000000001
0 1 1 11000001001010011011101101010000 01000000100100111110111010000101
0 1 1 01000001110100001110011100101101 01000000001110010001010011000001
